imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,n,Crossm.started_mean,Crossm.started_raw,Crossm.started_std,Crossm.stopped_raw,Fixation_cross.started_mean,Fixation_cross.started_raw,Fixation_cross.started_std,Fixation_cross.stopped_mean,Fixation_cross.stopped_raw,Fixation_cross.stopped_std,displayed_choice_image.started_mean,displayed_choice_image.started_raw,displayed_choice_image.started_std,displayed_choice_image.stopped_raw,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,key_resp.started_mean,key_resp.started_raw,key_resp.stopped_raw,order
LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_142.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_103.jpg,1,a,1,11,1.0,9.386114120483398,9.386114120483398,0.0,,14.373686790466309,14.373686790466309,0.0,15.374573707580566,15.374573707580566,0.0,15.374573707580566,15.374573707580566,0.0,,1.0,1.0,0.0,'a',0.5624052286148071,0.5624052286148071,0.0,1.0120291799830738,1.0120291799830738,,0.0
LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_122.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_155.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_122.jpg,1,a,1,11,1.0,15.958406448364258,15.958406448364258,0.0,,20.979393005371094,20.979393005371094,0.0,21.980243682861328,21.980243682861328,0.0,21.96355628967285,21.96355628967285,0.0,,1.0,1.0,0.0,'a',0.9104474782943726,0.9104474782943726,0.0,1.009925780002959,1.009925780002959,,1.0
LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_63.jpg,LZ_natural\LZ_natural_2.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_102.jpg,1,a,1,11,1.0,22.897607803344727,22.897607803344727,0.0,,27.91843032836914,27.91843032836914,0.0,28.919261932373047,28.919261932373047,0.0,28.90256118774414,28.90256118774414,0.0,,1.0,1.0,0.0,'a',0.732307493686676,0.732307493686676,0.0,1.009529980015941,1.009529980015941,,2.0
LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_83.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_123.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_83.jpg,1,a,1,11,1.0,29.65317153930664,29.65317153930664,0.0,,34.67392349243164,34.67392349243164,0.0,35.67478942871094,35.67478942871094,0.0,35.658119201660156,35.658119201660156,0.0,,0.0,0.0,0.0,'l',0.7527078986167908,0.7527078986167908,0.0,1.009679379989393,1.009679379989393,,3.0
LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_154.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_8.jpg,0,l,1,11,1.0,36.44207763671875,36.44207763671875,0.0,,41.462852478027344,41.462852478027344,0.0,42.46368408203125,42.46368408203125,0.0,42.4470100402832,42.4470100402832,0.0,,1.0,1.0,0.0,'l',0.21364450454711914,0.21364450454711914,0.0,1.009681979980087,1.009681979980087,,4.0
LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_38.jpg,LZ_natural\LZ_natural_47.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_141.jpg,0,l,1,11,1.0,42.68051528930664,42.68051528930664,0.0,,47.7012939453125,47.7012939453125,0.0,48.70211410522461,48.70211410522461,0.0,48.685462951660156,48.685462951660156,0.0,,1.0,1.0,0.0,'l',1.1472934484481812,1.1472934484481812,0.0,1.0090784799831454,1.0090784799831454,,5.0
LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_156.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_193.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_148.jpg,LZ_natural\LZ_natural_217.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_18.jpg,1,a,1,12,1.0,49.853092193603516,49.853092193603516,0.0,,54.85719680786133,54.85719680786133,0.0,55.85799789428711,55.85799789428711,0.0,55.84135055541992,55.84135055541992,0.0,,0.0,0.0,0.0,'l',1.455505132675171,1.455505132675171,0.0,1.0109151799988467,1.0109151799988467,,6.0
LZ_natural\LZ_natural_204.jpg,LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_136.jpg,LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_94.jpg,LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_134.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_204.jpg,1,a,1,12,1.0,57.32592010498047,57.32592010498047,0.0,,62.33001708984375,62.33001708984375,0.0,63.330787658691406,63.330787658691406,0.0,63.31414031982422,63.31414031982422,0.0,,0.0,0.0,0.0,'l',1.278789758682251,1.278789758682251,0.0,1.0115220799634699,1.0115220799634699,,7.0
LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_116.jpg,LZ_natural\LZ_natural_26.jpg,LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_11.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_207.jpg,LZ_natural\LZ_natural_140.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_60.jpg,0,l,1,12,1.0,64.61517333984375,64.61517333984375,0.0,,69.60265350341797,69.60265350341797,0.0,70.60342407226562,70.60342407226562,0.0,70.5867691040039,70.5867691040039,0.0,,1.0,1.0,0.0,'l',2.8087379932403564,2.8087379932403564,0.0,1.0121537800005171,1.0121537800005171,,8.0
LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_233.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_234.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_62.jpg,1,a,1,12,1.0,73.42243194580078,73.42243194580078,0.0,,78.40983581542969,78.40983581542969,0.0,79.41065979003906,79.41065979003906,0.0,79.39402770996094,79.39402770996094,0.0,,0.0,0.0,0.0,'l',2.4317264556884766,2.4317264556884766,0.0,1.010089479997987,1.010089479997987,,9.0
LZ_natural\LZ_natural_237.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_44.jpg,LZ_natural\LZ_natural_88.jpg,LZ_natural\LZ_natural_13.jpg,LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_180.jpg,LZ_natural\LZ_natural_109.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_90.jpg,0,l,1,12,1.0,81.84602355957031,81.84602355957031,0.0,,86.83341217041016,86.83341217041016,0.0,87.83423614501953,87.83423614501953,0.0,87.81753540039062,87.81753540039062,0.0,91.82081540001673,1.0,1.0,0.0,'l',6.250156402587891,6.250156402587891,0.0,1.007578980003018,1.007578980003018,,10.0
LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_92.jpg,LZ_natural\LZ_natural_40.jpg,LZ_natural\LZ_natural_236.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_223.jpg,LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_42.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_236.jpg,1,a,1,12,1.0,94.08934020996094,94.08934020996094,0.0,,99.0767593383789,99.0767593383789,0.0,100.07765197753906,100.07765197753906,0.0,100.0609130859375,100.0609130859375,0.0,,0.0,0.0,0.0,'l',1.7038476467132568,1.7038476467132568,0.0,1.0064791799813975,1.0064791799813975,,11.0
LZ_natural\LZ_natural_165.jpg,LZ_natural\LZ_natural_24.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_147.jpg,LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_196.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_65.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_124.jpg,None,None,None,None,3,LZ_natural\LZ_natural_105.jpg,0,l,1,13,1.0,101.79563903808594,101.79563903808594,0.0,,106.86707305908203,106.86707305908203,0.0,107.86737823486328,107.86737823486328,0.0,107.85066986083984,107.85066986083984,0.0,,1.0,1.0,0.0,'l',0.48237720131874084,0.48237720131874084,0.0,1.0118423200037796,1.0118423200037796,,12.0
LZ_natural\LZ_natural_21.jpg,LZ_natural\LZ_natural_225.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_145.jpg,LZ_natural\LZ_natural_48.jpg,LZ_natural\LZ_natural_68.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_76.jpg,LZ_natural\LZ_natural_16.jpg,LZ_natural\LZ_natural_34.jpg,LZ_natural\LZ_natural_221.jpg,LZ_natural\LZ_natural_215.jpg,None,None,None,None,3,LZ_natural\LZ_natural_48.jpg,1,a,1,13,1.0,108.35108947753906,108.35108947753906,0.0,,113.40522003173828,113.40522003173828,0.0,114.40601348876953,114.40601348876953,0.0,114.38932800292969,114.38932800292969,0.0,,0.0,0.0,0.0,'l',0.1824263036251068,0.1824263036251068,0.0,1.0119233200093731,1.0119233200093731,,13.0
LZ_natural\LZ_natural_5.jpg,LZ_natural\LZ_natural_216.jpg,LZ_natural\LZ_natural_12.jpg,LZ_natural\LZ_natural_146.jpg,LZ_natural\LZ_natural_32.jpg,LZ_natural\LZ_natural_138.jpg,LZ_natural\LZ_natural_28.jpg,LZ_natural\LZ_natural_6.jpg,LZ_natural\LZ_natural_219.jpg,LZ_natural\LZ_natural_201.jpg,LZ_natural\LZ_natural_72.jpg,LZ_natural\LZ_natural_228.jpg,None,None,None,None,3,LZ_natural\LZ_natural_171.jpg,0,l,1,13,1.0,114.58948516845703,114.58948516845703,0.0,,119.62698364257812,119.62698364257812,0.0,120.62779998779297,120.62779998779297,0.0,120.61111450195312,120.61111450195312,0.0,,1.0,1.0,0.0,'l',0.2628670036792755,0.2628670036792755,0.0,1.010551219980698,1.010551219980698,,14.0
LZ_natural\LZ_natural_184.jpg,LZ_natural\LZ_natural_120.jpg,LZ_natural\LZ_natural_161.jpg,LZ_natural\LZ_natural_133.jpg,LZ_natural\LZ_natural_53.jpg,LZ_natural\LZ_natural_71.jpg,LZ_natural\LZ_natural_37.jpg,LZ_natural\LZ_natural_149.jpg,LZ_natural\LZ_natural_132.jpg,LZ_natural\LZ_natural_101.jpg,LZ_natural\LZ_natural_56.jpg,LZ_natural\LZ_natural_54.jpg,None,None,None,None,3,LZ_natural\LZ_natural_100.jpg,0,l,1,13,1.0,120.89466094970703,120.89466094970703,0.0,,125.94883728027344,125.94883728027344,0.0,126.94963836669922,126.94963836669922,0.0,126.93293762207031,126.93293762207031,0.0,,1.0,1.0,0.0,'l',0.15782970190048218,0.15782970190048218,0.0,1.0107508200162556,1.0107508200162556,,15.0
LZ_natural\LZ_natural_126.jpg,LZ_natural\LZ_natural_17.jpg,LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_107.jpg,LZ_natural\LZ_natural_169.jpg,LZ_natural\LZ_natural_188.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_176.jpg,LZ_natural\LZ_natural_153.jpg,LZ_natural\LZ_natural_4.jpg,LZ_natural\LZ_natural_36.jpg,LZ_natural\LZ_natural_67.jpg,None,None,None,None,3,LZ_natural\LZ_natural_178.jpg,0,l,1,13,1.0,127.116455078125,127.116455078125,0.0,,132.15390014648438,132.15390014648438,0.0,133.1547088623047,133.1547088623047,0.0,133.13807678222656,133.13807678222656,0.0,,1.0,1.0,0.0,'l',0.9526653289794922,0.9526653289794922,0.0,1.0019759199931286,1.0019759199931286,,16.0
LZ_natural\LZ_natural_129.jpg,LZ_natural\LZ_natural_10.jpg,LZ_natural\LZ_natural_137.jpg,LZ_natural\LZ_natural_222.jpg,LZ_natural\LZ_natural_174.jpg,LZ_natural\LZ_natural_213.jpg,LZ_natural\LZ_natural_224.jpg,LZ_natural\LZ_natural_85.jpg,LZ_natural\LZ_natural_240.jpg,LZ_natural\LZ_natural_87.jpg,LZ_natural\LZ_natural_45.jpg,LZ_natural\LZ_natural_214.jpg,None,None,None,None,3,LZ_natural\LZ_natural_28.jpg,0,l,1,13,1.0,134.1221923828125,134.1221923828125,0.0,,139.17633056640625,139.17633056640625,0.0,140.17715454101562,140.17715454101562,0.0,140.16046142578125,140.16046142578125,0.0,,1.0,1.0,0.0,'l',1.1484756469726562,1.1484756469726562,0.0,1.0077479199972004,1.0077479199972004,,17.0

extraInfo
participant,
session,001
date,2020_Dec_16_1605
expName,new_STLI_practise
psychopyVersion,2020.2.10
frameRate,59.96156464455615
