imageone,imagetwo,imagethree,imagefour,frequency
C:\LZ\final_scrambled\scrambled_99.jpg, C:\LZ\final_scrambled\scrambled_164.jpg, C:\LZ\final_scrambled\scrambled_11.jpg, C:\LZ\final_scrambled\scrambled_188.jpg,     1
C:\LZ\noise\noise_152.jpg, C:\LZ\noise\noise_221.jpg, C:\LZ\noise\noise_228.jpg, C:\LZ\noise\noise_89.jpg,     4
C:\LZ\natural\natural_116.jpg, C:\LZ\natural\natural_68.jpg, C:\LZ\natural\natural_227.jpg, C:\LZ\natural\natural_21.jpg,     3
C:\LZ\final_scrambled\scrambled_55.jpg, C:\LZ\final_scrambled\scrambled_66.jpg, C:\LZ\final_scrambled\scrambled_85.jpg, C:\LZ\final_scrambled\scrambled_52.jpg,     1
C:\LZ\final_scrambled\scrambled_144.jpg, C:\LZ\final_scrambled\scrambled_210.jpg, C:\LZ\final_scrambled\scrambled_220.jpg, C:\LZ\final_scrambled\scrambled_122.jpg,     1
C:\LZ\natural\natural_28.jpg, C:\LZ\natural\natural_96.jpg, C:\LZ\natural\natural_185.jpg, C:\LZ\natural\natural_132.jpg,     1
C:\LZ\natural\natural_187.jpg, C:\LZ\natural\natural_64.jpg, C:\LZ\natural\natural_66.jpg, C:\LZ\natural\natural_99.jpg,     1
C:\LZ\final_scrambled\scrambled_8.jpg, C:\LZ\final_scrambled\scrambled_217.jpg, C:\LZ\final_scrambled\scrambled_13.jpg, C:\LZ\final_scrambled\scrambled_17.jpg,     2
C:\LZ\final_scrambled\scrambled_125.jpg, C:\LZ\final_scrambled\scrambled_28.jpg, C:\LZ\final_scrambled\scrambled_169.jpg, C:\LZ\final_scrambled\scrambled_127.jpg,     2
C:\LZ\final_scrambled\scrambled_133.jpg, C:\LZ\final_scrambled\scrambled_95.jpg, C:\LZ\final_scrambled\scrambled_58.jpg, C:\LZ\final_scrambled\scrambled_226.jpg,     4
C:\LZ\noise\noise_103.jpg, C:\LZ\noise\noise_156.jpg, C:\LZ\noise\noise_203.jpg, C:\LZ\noise\noise_222.jpg,     3
C:\LZ\noise\noise_166.jpg, C:\LZ\noise\noise_84.jpg, C:\LZ\noise\noise_181.jpg, C:\LZ\noise\noise_71.jpg,     4
C:\LZ\final_scrambled\scrambled_23.jpg, C:\LZ\final_scrambled\scrambled_221.jpg, C:\LZ\final_scrambled\scrambled_47.jpg, C:\LZ\final_scrambled\scrambled_80.jpg,     3
C:\LZ\natural\natural_183.jpg, C:\LZ\natural\natural_162.jpg, C:\LZ\natural\natural_83.jpg, C:\LZ\natural\natural_126.jpg,     1
C:\LZ\final_scrambled\scrambled_139.jpg, C:\LZ\final_scrambled\scrambled_39.jpg, C:\LZ\final_scrambled\scrambled_194.jpg, C:\LZ\final_scrambled\scrambled_24.jpg,     1
C:\LZ\natural\natural_167.jpg, C:\LZ\natural\natural_140.jpg, C:\LZ\natural\natural_164.jpg, C:\LZ\natural\natural_90.jpg,     1
C:\LZ\natural\natural_173.jpg, C:\LZ\natural\natural_34.jpg, C:\LZ\natural\natural_165.jpg, C:\LZ\natural\natural_11.jpg,     2
C:\LZ\natural\natural_200.jpg, C:\LZ\natural\natural_74.jpg, C:\LZ\natural\natural_211.jpg, C:\LZ\natural\natural_7.jpg,     3
C:\LZ\noise\noise_233.jpg, C:\LZ\noise\noise_75.jpg, C:\LZ\noise\noise_219.jpg, C:\LZ\noise\noise_12.jpg,     1
C:\LZ\natural\natural_151.jpg, C:\LZ\natural\natural_54.jpg, C:\LZ\natural\natural_221.jpg, C:\LZ\natural\natural_46.jpg,     1
C:\LZ\noise\noise_55.jpg, C:\LZ\noise\noise_51.jpg, C:\LZ\noise\noise_135.jpg, C:\LZ\noise\noise_80.jpg,     4
C:\LZ\natural\natural_92.jpg, C:\LZ\natural\natural_16.jpg, C:\LZ\natural\natural_118.jpg, C:\LZ\natural\natural_238.jpg,     4
C:\LZ\natural\natural_35.jpg, C:\LZ\natural\natural_166.jpg, C:\LZ\natural\natural_133.jpg, C:\LZ\natural\natural_145.jpg,     2
C:\LZ\natural\natural_79.jpg, C:\LZ\natural\natural_195.jpg, C:\LZ\natural\natural_62.jpg, C:\LZ\natural\natural_111.jpg,     1
C:\LZ\final_scrambled\scrambled_232.jpg, C:\LZ\final_scrambled\scrambled_233.jpg, C:\LZ\final_scrambled\scrambled_9.jpg, C:\LZ\final_scrambled\scrambled_234.jpg,     4
C:\LZ\noise\noise_92.jpg, C:\LZ\noise\noise_161.jpg, C:\LZ\noise\noise_33.jpg, C:\LZ\noise\noise_54.jpg,     3
C:\LZ\final_scrambled\scrambled_184.jpg, C:\LZ\final_scrambled\scrambled_218.jpg, C:\LZ\final_scrambled\scrambled_56.jpg, C:\LZ\final_scrambled\scrambled_21.jpg,     4
C:\LZ\final_scrambled\scrambled_237.jpg, C:\LZ\final_scrambled\scrambled_18.jpg, C:\LZ\final_scrambled\scrambled_121.jpg, C:\LZ\final_scrambled\scrambled_120.jpg,     1
C:\LZ\natural\natural_232.jpg, C:\LZ\natural\natural_14.jpg, C:\LZ\natural\natural_53.jpg, C:\LZ\natural\natural_191.jpg,     2
C:\LZ\noise\noise_195.jpg, C:\LZ\noise\noise_207.jpg, C:\LZ\noise\noise_209.jpg, C:\LZ\noise\noise_100.jpg,     1
C:\LZ\noise\noise_197.jpg, C:\LZ\noise\noise_130.jpg, C:\LZ\noise\noise_32.jpg, C:\LZ\noise\noise_148.jpg,     3
C:\LZ\natural\natural_129.jpg, C:\LZ\natural\natural_76.jpg, C:\LZ\natural\natural_194.jpg, C:\LZ\natural\natural_100.jpg,     2
C:\LZ\final_scrambled\scrambled_16.jpg, C:\LZ\final_scrambled\scrambled_132.jpg, C:\LZ\final_scrambled\scrambled_62.jpg, C:\LZ\final_scrambled\scrambled_193.jpg,     2
C:\LZ\natural\natural_8.jpg, C:\LZ\natural\natural_17.jpg, C:\LZ\natural\natural_40.jpg, C:\LZ\natural\natural_9.jpg,     1
C:\LZ\noise\noise_50.jpg, C:\LZ\noise\noise_45.jpg, C:\LZ\noise\noise_91.jpg, C:\LZ\noise\noise_163.jpg,     2
C:\LZ\noise\noise_85.jpg, C:\LZ\noise\noise_179.jpg, C:\LZ\noise\noise_26.jpg, C:\LZ\noise\noise_205.jpg,     2
C:\LZ\final_scrambled\scrambled_204.jpg, C:\LZ\final_scrambled\scrambled_106.jpg, C:\LZ\final_scrambled\scrambled_42.jpg, C:\LZ\final_scrambled\scrambled_46.jpg,     2
C:\LZ\final_scrambled\scrambled_213.jpg, C:\LZ\final_scrambled\scrambled_15.jpg, C:\LZ\final_scrambled\scrambled_177.jpg, C:\LZ\final_scrambled\scrambled_48.jpg,     2
C:\LZ\noise\noise_31.jpg, C:\LZ\noise\noise_172.jpg, C:\LZ\noise\noise_41.jpg, C:\LZ\noise\noise_169.jpg,     2
C:\LZ\noise\noise_27.jpg, C:\LZ\noise\noise_141.jpg, C:\LZ\noise\noise_217.jpg, C:\LZ\noise\noise_146.jpg,     3
C:\LZ\final_scrambled\scrambled_186.jpg, C:\LZ\final_scrambled\scrambled_172.jpg, C:\LZ\final_scrambled\scrambled_79.jpg, C:\LZ\final_scrambled\scrambled_189.jpg,     4
C:\LZ\natural\natural_42.jpg, C:\LZ\natural\natural_23.jpg, C:\LZ\natural\natural_57.jpg, C:\LZ\natural\natural_72.jpg,     2
C:\LZ\natural\natural_186.jpg, C:\LZ\natural\natural_102.jpg, C:\LZ\natural\natural_240.jpg, C:\LZ\natural\natural_24.jpg,     4
C:\LZ\final_scrambled\scrambled_70.jpg, C:\LZ\final_scrambled\scrambled_199.jpg, C:\LZ\final_scrambled\scrambled_41.jpg, C:\LZ\final_scrambled\scrambled_82.jpg,     2
C:\LZ\natural\natural_178.jpg, C:\LZ\natural\natural_71.jpg, C:\LZ\natural\natural_58.jpg, C:\LZ\natural\natural_135.jpg,     2
C:\LZ\natural\natural_106.jpg, C:\LZ\natural\natural_73.jpg, C:\LZ\natural\natural_108.jpg, C:\LZ\natural\natural_177.jpg,     3
C:\LZ\natural\natural_223.jpg, C:\LZ\natural\natural_202.jpg, C:\LZ\natural\natural_81.jpg, C:\LZ\natural\natural_148.jpg,     3
C:\LZ\noise\noise_42.jpg, C:\LZ\noise\noise_200.jpg, C:\LZ\noise\noise_104.jpg, C:\LZ\noise\noise_74.jpg,     3
C:\LZ\natural\natural_15.jpg, C:\LZ\natural\natural_80.jpg, C:\LZ\natural\natural_147.jpg, C:\LZ\natural\natural_169.jpg,     4
C:\LZ\final_scrambled\scrambled_105.jpg, C:\LZ\final_scrambled\scrambled_200.jpg, C:\LZ\final_scrambled\scrambled_98.jpg, C:\LZ\final_scrambled\scrambled_1.jpg,     1
C:\LZ\noise\noise_56.jpg, C:\LZ\noise\noise_150.jpg, C:\LZ\noise\noise_145.jpg, C:\LZ\noise\noise_36.jpg,     3
C:\LZ\noise\noise_229.jpg, C:\LZ\noise\noise_68.jpg, C:\LZ\noise\noise_94.jpg, C:\LZ\noise\noise_44.jpg,     1
C:\LZ\noise\noise_40.jpg, C:\LZ\noise\noise_137.jpg, C:\LZ\noise\noise_224.jpg, C:\LZ\noise\noise_198.jpg,     4
C:\LZ\noise\noise_81.jpg, C:\LZ\noise\noise_18.jpg, C:\LZ\noise\noise_96.jpg, C:\LZ\noise\noise_193.jpg,     1
C:\LZ\final_scrambled\scrambled_81.jpg, C:\LZ\final_scrambled\scrambled_174.jpg, C:\LZ\final_scrambled\scrambled_119.jpg, C:\LZ\final_scrambled\scrambled_14.jpg,     1
C:\LZ\final_scrambled\scrambled_107.jpg, C:\LZ\final_scrambled\scrambled_156.jpg, C:\LZ\final_scrambled\scrambled_12.jpg, C:\LZ\final_scrambled\scrambled_187.jpg,     3
C:\LZ\noise\noise_59.jpg, C:\LZ\noise\noise_155.jpg, C:\LZ\noise\noise_120.jpg, C:\LZ\noise\noise_67.jpg,     2
C:\LZ\natural\natural_181.jpg, C:\LZ\natural\natural_205.jpg, C:\LZ\natural\natural_2.jpg, C:\LZ\natural\natural_49.jpg,     1
C:\LZ\final_scrambled\scrambled_228.jpg, C:\LZ\final_scrambled\scrambled_118.jpg, C:\LZ\final_scrambled\scrambled_191.jpg, C:\LZ\final_scrambled\scrambled_128.jpg,     1
C:\LZ\natural\natural_219.jpg, C:\LZ\natural\natural_27.jpg, C:\LZ\natural\natural_155.jpg, C:\LZ\natural\natural_193.jpg,     2
C:\LZ\noise\noise_58.jpg, C:\LZ\noise\noise_90.jpg, C:\LZ\noise\noise_28.jpg, C:\LZ\noise\noise_102.jpg,     4
C:\LZ\noise\noise_48.jpg, C:\LZ\noise\noise_134.jpg, C:\LZ\noise\noise_3.jpg, C:\LZ\noise\noise_2.jpg,     2
C:\LZ\noise\noise_151.jpg, C:\LZ\noise\noise_213.jpg, C:\LZ\noise\noise_53.jpg, C:\LZ\noise\noise_60.jpg,     2
C:\LZ\final_scrambled\scrambled_190.jpg, C:\LZ\final_scrambled\scrambled_65.jpg, C:\LZ\final_scrambled\scrambled_2.jpg, C:\LZ\final_scrambled\scrambled_22.jpg,     3
C:\LZ\final_scrambled\scrambled_37.jpg, C:\LZ\final_scrambled\scrambled_182.jpg, C:\LZ\final_scrambled\scrambled_96.jpg, C:\LZ\final_scrambled\scrambled_92.jpg,     3
C:\LZ\final_scrambled\scrambled_30.jpg, C:\LZ\final_scrambled\scrambled_93.jpg, C:\LZ\final_scrambled\scrambled_173.jpg, C:\LZ\final_scrambled\scrambled_162.jpg,     1
C:\LZ\noise\noise_167.jpg, C:\LZ\noise\noise_202.jpg, C:\LZ\noise\noise_38.jpg, C:\LZ\noise\noise_142.jpg,     3
C:\LZ\final_scrambled\scrambled_109.jpg, C:\LZ\final_scrambled\scrambled_141.jpg, C:\LZ\final_scrambled\scrambled_231.jpg, C:\LZ\final_scrambled\scrambled_60.jpg,     2
C:\LZ\noise\noise_98.jpg, C:\LZ\noise\noise_77.jpg, C:\LZ\noise\noise_190.jpg, C:\LZ\noise\noise_211.jpg,     3
C:\LZ\natural\natural_43.jpg, C:\LZ\natural\natural_229.jpg, C:\LZ\natural\natural_207.jpg, C:\LZ\natural\natural_199.jpg,     2
C:\LZ\natural\natural_39.jpg, C:\LZ\natural\natural_239.jpg, C:\LZ\natural\natural_175.jpg, C:\LZ\natural\natural_95.jpg,     3
C:\LZ\final_scrambled\scrambled_136.jpg, C:\LZ\final_scrambled\scrambled_143.jpg, C:\LZ\final_scrambled\scrambled_113.jpg, C:\LZ\final_scrambled\scrambled_207.jpg,     4
C:\LZ\noise\noise_11.jpg, C:\LZ\noise\noise_143.jpg, C:\LZ\noise\noise_73.jpg, C:\LZ\noise\noise_121.jpg,     2
C:\LZ\final_scrambled\scrambled_171.jpg, C:\LZ\final_scrambled\scrambled_208.jpg, C:\LZ\final_scrambled\scrambled_108.jpg, C:\LZ\final_scrambled\scrambled_154.jpg,     3
C:\LZ\natural\natural_188.jpg, C:\LZ\natural\natural_213.jpg, C:\LZ\natural\natural_67.jpg, C:\LZ\natural\natural_218.jpg,     2
C:\LZ\noise\noise_194.jpg, C:\LZ\noise\noise_117.jpg, C:\LZ\noise\noise_101.jpg, C:\LZ\noise\noise_49.jpg,     3
C:\LZ\noise\noise_88.jpg, C:\LZ\noise\noise_191.jpg, C:\LZ\noise\noise_109.jpg, C:\LZ\noise\noise_8.jpg,     1
C:\LZ\final_scrambled\scrambled_53.jpg, C:\LZ\final_scrambled\scrambled_4.jpg, C:\LZ\final_scrambled\scrambled_51.jpg, C:\LZ\final_scrambled\scrambled_179.jpg,     4
C:\LZ\final_scrambled\scrambled_75.jpg, C:\LZ\final_scrambled\scrambled_168.jpg, C:\LZ\final_scrambled\scrambled_205.jpg, C:\LZ\final_scrambled\scrambled_163.jpg,     2
C:\LZ\noise\noise_153.jpg, C:\LZ\noise\noise_95.jpg, C:\LZ\noise\noise_174.jpg, C:\LZ\noise\noise_168.jpg,     2
C:\LZ\noise\noise_6.jpg, C:\LZ\noise\noise_112.jpg, C:\LZ\noise\noise_125.jpg, C:\LZ\noise\noise_210.jpg,     3
C:\LZ\final_scrambled\scrambled_225.jpg, C:\LZ\final_scrambled\scrambled_165.jpg, C:\LZ\final_scrambled\scrambled_149.jpg, C:\LZ\final_scrambled\scrambled_27.jpg,     3
C:\LZ\final_scrambled\scrambled_183.jpg, C:\LZ\final_scrambled\scrambled_138.jpg, C:\LZ\final_scrambled\scrambled_195.jpg, C:\LZ\final_scrambled\scrambled_238.jpg,     1
C:\LZ\final_scrambled\scrambled_71.jpg, C:\LZ\final_scrambled\scrambled_73.jpg, C:\LZ\final_scrambled\scrambled_140.jpg, C:\LZ\final_scrambled\scrambled_151.jpg,     3
C:\LZ\final_scrambled\scrambled_115.jpg, C:\LZ\final_scrambled\scrambled_166.jpg, C:\LZ\final_scrambled\scrambled_26.jpg, C:\LZ\final_scrambled\scrambled_206.jpg,     1
C:\LZ\natural\natural_146.jpg, C:\LZ\natural\natural_198.jpg, C:\LZ\natural\natural_45.jpg, C:\LZ\natural\natural_50.jpg,     4
C:\LZ\natural\natural_144.jpg, C:\LZ\natural\natural_65.jpg, C:\LZ\natural\natural_88.jpg, C:\LZ\natural\natural_235.jpg,     1
C:\LZ\final_scrambled\scrambled_67.jpg, C:\LZ\final_scrambled\scrambled_84.jpg, C:\LZ\final_scrambled\scrambled_43.jpg, C:\LZ\final_scrambled\scrambled_178.jpg,     1
