imageone,imagetwo,imagethree,imagefour,frequency
C:\LZ\noise\noise_176.jpg, C:\LZ\noise\noise_113.jpg, C:\LZ\noise\noise_206.jpg, C:\LZ\noise\noise_226.jpg,     4
C:\LZ\natural\natural_94.jpg, C:\LZ\natural\natural_98.jpg, C:\LZ\natural\natural_209.jpg, C:\LZ\natural\natural_143.jpg,     2
C:\LZ\natural\natural_152.jpg, C:\LZ\natural\natural_142.jpg, C:\LZ\natural\natural_78.jpg, C:\LZ\natural\natural_109.jpg,     3
C:\LZ\noise\noise_199.jpg, C:\LZ\noise\noise_65.jpg, C:\LZ\noise\noise_118.jpg, C:\LZ\noise\noise_61.jpg,     2
C:\LZ\natural\natural_97.jpg, C:\LZ\natural\natural_134.jpg, C:\LZ\natural\natural_210.jpg, C:\LZ\natural\natural_122.jpg,     4
C:\LZ\natural\natural_215.jpg, C:\LZ\natural\natural_25.jpg, C:\LZ\natural\natural_120.jpg, C:\LZ\natural\natural_228.jpg,     1
C:\LZ\noise\noise_108.jpg, C:\LZ\noise\noise_225.jpg, C:\LZ\noise\noise_144.jpg, C:\LZ\noise\noise_97.jpg,     4
C:\LZ\noise\noise_13.jpg, C:\LZ\noise\noise_136.jpg, C:\LZ\noise\noise_154.jpg, C:\LZ\noise\noise_35.jpg,     3
C:\LZ\noise\noise_66.jpg, C:\LZ\noise\noise_29.jpg, C:\LZ\noise\noise_116.jpg, C:\LZ\noise\noise_127.jpg,     4
C:\LZ\final_scrambled\scrambled_116.jpg, C:\LZ\final_scrambled\scrambled_89.jpg, C:\LZ\final_scrambled\scrambled_223.jpg, C:\LZ\final_scrambled\scrambled_134.jpg,     4
C:\LZ\natural\natural_33.jpg, C:\LZ\natural\natural_38.jpg, C:\LZ\natural\natural_156.jpg, C:\LZ\natural\natural_26.jpg,     4
C:\LZ\final_scrambled\scrambled_153.jpg, C:\LZ\final_scrambled\scrambled_112.jpg, C:\LZ\final_scrambled\scrambled_49.jpg, C:\LZ\final_scrambled\scrambled_29.jpg,     3
C:\LZ\natural\natural_77.jpg, C:\LZ\natural\natural_149.jpg, C:\LZ\natural\natural_233.jpg, C:\LZ\natural\natural_113.jpg,     1
C:\LZ\noise\noise_158.jpg, C:\LZ\noise\noise_236.jpg, C:\LZ\noise\noise_157.jpg, C:\LZ\noise\noise_196.jpg,     2
C:\LZ\noise\noise_188.jpg, C:\LZ\noise\noise_232.jpg, C:\LZ\noise\noise_23.jpg, C:\LZ\noise\noise_46.jpg,     2
C:\LZ\noise\noise_21.jpg, C:\LZ\noise\noise_9.jpg, C:\LZ\noise\noise_201.jpg, C:\LZ\noise\noise_111.jpg,     3
C:\LZ\noise\noise_47.jpg, C:\LZ\noise\noise_235.jpg, C:\LZ\noise\noise_78.jpg, C:\LZ\noise\noise_115.jpg,     1
C:\LZ\noise\noise_231.jpg, C:\LZ\noise\noise_62.jpg, C:\LZ\noise\noise_240.jpg, C:\LZ\noise\noise_131.jpg,     4
C:\LZ\natural\natural_85.jpg, C:\LZ\natural\natural_196.jpg, C:\LZ\natural\natural_212.jpg, C:\LZ\natural\natural_203.jpg,     4
C:\LZ\noise\noise_63.jpg, C:\LZ\noise\noise_173.jpg, C:\LZ\noise\noise_99.jpg, C:\LZ\noise\noise_4.jpg,     2
C:\LZ\noise\noise_208.jpg, C:\LZ\noise\noise_105.jpg, C:\LZ\noise\noise_165.jpg, C:\LZ\noise\noise_83.jpg,     2
C:\LZ\noise\noise_140.jpg, C:\LZ\noise\noise_124.jpg, C:\LZ\noise\noise_128.jpg, C:\LZ\noise\noise_204.jpg,     4
C:\LZ\final_scrambled\scrambled_36.jpg, C:\LZ\final_scrambled\scrambled_32.jpg, C:\LZ\final_scrambled\scrambled_59.jpg, C:\LZ\final_scrambled\scrambled_64.jpg,     1
C:\LZ\final_scrambled\scrambled_192.jpg, C:\LZ\final_scrambled\scrambled_57.jpg, C:\LZ\final_scrambled\scrambled_142.jpg, C:\LZ\final_scrambled\scrambled_158.jpg,     2
C:\LZ\noise\noise_1.jpg, C:\LZ\noise\noise_129.jpg, C:\LZ\noise\noise_234.jpg, C:\LZ\noise\noise_214.jpg,     2
C:\LZ\final_scrambled\scrambled_83.jpg, C:\LZ\final_scrambled\scrambled_214.jpg, C:\LZ\final_scrambled\scrambled_203.jpg, C:\LZ\final_scrambled\scrambled_167.jpg,     4
C:\LZ\natural\natural_112.jpg, C:\LZ\natural\natural_105.jpg, C:\LZ\natural\natural_180.jpg, C:\LZ\natural\natural_6.jpg,     4
C:\LZ\natural\natural_138.jpg, C:\LZ\natural\natural_30.jpg, C:\LZ\natural\natural_60.jpg, C:\LZ\natural\natural_217.jpg,     3
C:\LZ\final_scrambled\scrambled_240.jpg, C:\LZ\final_scrambled\scrambled_100.jpg, C:\LZ\final_scrambled\scrambled_157.jpg, C:\LZ\final_scrambled\scrambled_129.jpg,     4
C:\LZ\natural\natural_224.jpg, C:\LZ\natural\natural_136.jpg, C:\LZ\natural\natural_121.jpg, C:\LZ\natural\natural_82.jpg,     4
C:\LZ\noise\noise_107.jpg, C:\LZ\noise\noise_114.jpg, C:\LZ\noise\noise_24.jpg, C:\LZ\noise\noise_82.jpg,     1
C:\LZ\noise\noise_216.jpg, C:\LZ\noise\noise_70.jpg, C:\LZ\noise\noise_25.jpg, C:\LZ\noise\noise_183.jpg,     2
C:\LZ\natural\natural_63.jpg, C:\LZ\natural\natural_192.jpg, C:\LZ\natural\natural_119.jpg, C:\LZ\natural\natural_114.jpg,     2
C:\LZ\noise\noise_238.jpg, C:\LZ\noise\noise_162.jpg, C:\LZ\noise\noise_10.jpg, C:\LZ\noise\noise_19.jpg,     2
C:\LZ\final_scrambled\scrambled_160.jpg, C:\LZ\final_scrambled\scrambled_54.jpg, C:\LZ\final_scrambled\scrambled_202.jpg, C:\LZ\final_scrambled\scrambled_126.jpg,     2
C:\LZ\final_scrambled\scrambled_123.jpg, C:\LZ\final_scrambled\scrambled_45.jpg, C:\LZ\final_scrambled\scrambled_103.jpg, C:\LZ\final_scrambled\scrambled_224.jpg,     1
C:\LZ\noise\noise_132.jpg, C:\LZ\noise\noise_119.jpg, C:\LZ\noise\noise_239.jpg, C:\LZ\noise\noise_20.jpg,     1
C:\LZ\natural\natural_171.jpg, C:\LZ\natural\natural_19.jpg, C:\LZ\natural\natural_125.jpg, C:\LZ\natural\natural_93.jpg,     3
C:\LZ\noise\noise_182.jpg, C:\LZ\noise\noise_72.jpg, C:\LZ\noise\noise_212.jpg, C:\LZ\noise\noise_223.jpg,     1
C:\LZ\final_scrambled\scrambled_135.jpg, C:\LZ\final_scrambled\scrambled_148.jpg, C:\LZ\final_scrambled\scrambled_38.jpg, C:\LZ\final_scrambled\scrambled_63.jpg,     2
C:\LZ\final_scrambled\scrambled_88.jpg, C:\LZ\final_scrambled\scrambled_175.jpg, C:\LZ\final_scrambled\scrambled_72.jpg, C:\LZ\final_scrambled\scrambled_181.jpg,     1
C:\LZ\noise\noise_93.jpg, C:\LZ\noise\noise_171.jpg, C:\LZ\noise\noise_15.jpg, C:\LZ\noise\noise_187.jpg,     4
C:\LZ\final_scrambled\scrambled_97.jpg, C:\LZ\final_scrambled\scrambled_161.jpg, C:\LZ\final_scrambled\scrambled_25.jpg, C:\LZ\final_scrambled\scrambled_69.jpg,     3
C:\LZ\noise\noise_52.jpg, C:\LZ\noise\noise_37.jpg, C:\LZ\noise\noise_79.jpg, C:\LZ\noise\noise_220.jpg,     4
C:\LZ\natural\natural_237.jpg, C:\LZ\natural\natural_31.jpg, C:\LZ\natural\natural_182.jpg, C:\LZ\natural\natural_170.jpg,     1
C:\LZ\noise\noise_237.jpg, C:\LZ\noise\noise_17.jpg, C:\LZ\noise\noise_133.jpg, C:\LZ\noise\noise_159.jpg,     3
C:\LZ\noise\noise_123.jpg, C:\LZ\noise\noise_76.jpg, C:\LZ\noise\noise_126.jpg, C:\LZ\noise\noise_192.jpg,     2
C:\LZ\noise\noise_189.jpg, C:\LZ\noise\noise_34.jpg, C:\LZ\noise\noise_87.jpg, C:\LZ\noise\noise_14.jpg,     2
C:\LZ\final_scrambled\scrambled_68.jpg, C:\LZ\final_scrambled\scrambled_145.jpg, C:\LZ\final_scrambled\scrambled_117.jpg, C:\LZ\final_scrambled\scrambled_19.jpg,     2
C:\LZ\final_scrambled\scrambled_102.jpg, C:\LZ\final_scrambled\scrambled_198.jpg, C:\LZ\final_scrambled\scrambled_216.jpg, C:\LZ\final_scrambled\scrambled_235.jpg,     2
C:\LZ\natural\natural_225.jpg, C:\LZ\natural\natural_91.jpg, C:\LZ\natural\natural_36.jpg, C:\LZ\natural\natural_22.jpg,     2
C:\LZ\noise\noise_177.jpg, C:\LZ\noise\noise_69.jpg, C:\LZ\noise\noise_57.jpg, C:\LZ\noise\noise_218.jpg,     3
C:\LZ\natural\natural_101.jpg, C:\LZ\natural\natural_139.jpg, C:\LZ\natural\natural_37.jpg, C:\LZ\natural\natural_20.jpg,     1
C:\LZ\natural\natural_48.jpg, C:\LZ\natural\natural_87.jpg, C:\LZ\natural\natural_176.jpg, C:\LZ\natural\natural_179.jpg,     2
C:\LZ\natural\natural_161.jpg, C:\LZ\natural\natural_197.jpg, C:\LZ\natural\natural_204.jpg, C:\LZ\natural\natural_104.jpg,     2
C:\LZ\natural\natural_52.jpg, C:\LZ\natural\natural_10.jpg, C:\LZ\natural\natural_12.jpg, C:\LZ\natural\natural_214.jpg,     4
C:\LZ\final_scrambled\scrambled_61.jpg, C:\LZ\final_scrambled\scrambled_33.jpg, C:\LZ\final_scrambled\scrambled_87.jpg, C:\LZ\final_scrambled\scrambled_104.jpg,     4
C:\LZ\final_scrambled\scrambled_222.jpg, C:\LZ\final_scrambled\scrambled_130.jpg, C:\LZ\final_scrambled\scrambled_230.jpg, C:\LZ\final_scrambled\scrambled_219.jpg,     1
C:\LZ\noise\noise_30.jpg, C:\LZ\noise\noise_230.jpg, C:\LZ\noise\noise_160.jpg, C:\LZ\noise\noise_39.jpg,     4
C:\LZ\natural\natural_141.jpg, C:\LZ\natural\natural_47.jpg, C:\LZ\natural\natural_137.jpg, C:\LZ\natural\natural_51.jpg,     2
C:\LZ\final_scrambled\scrambled_34.jpg, C:\LZ\final_scrambled\scrambled_137.jpg, C:\LZ\final_scrambled\scrambled_35.jpg, C:\LZ\final_scrambled\scrambled_159.jpg,     1
C:\LZ\noise\noise_164.jpg, C:\LZ\noise\noise_106.jpg, C:\LZ\noise\noise_186.jpg, C:\LZ\noise\noise_215.jpg,     4
C:\LZ\final_scrambled\scrambled_90.jpg, C:\LZ\final_scrambled\scrambled_76.jpg, C:\LZ\final_scrambled\scrambled_101.jpg, C:\LZ\final_scrambled\scrambled_111.jpg,     3
C:\LZ\final_scrambled\scrambled_6.jpg, C:\LZ\final_scrambled\scrambled_44.jpg, C:\LZ\final_scrambled\scrambled_155.jpg, C:\LZ\final_scrambled\scrambled_215.jpg,     1
C:\LZ\natural\natural_5.jpg, C:\LZ\natural\natural_174.jpg, C:\LZ\natural\natural_110.jpg, C:\LZ\natural\natural_4.jpg,     3
C:\LZ\natural\natural_29.jpg, C:\LZ\natural\natural_18.jpg, C:\LZ\natural\natural_168.jpg, C:\LZ\natural\natural_103.jpg,     2
C:\LZ\noise\noise_138.jpg, C:\LZ\noise\noise_43.jpg, C:\LZ\noise\noise_180.jpg, C:\LZ\noise\noise_185.jpg,     2
C:\LZ\natural\natural_32.jpg, C:\LZ\natural\natural_189.jpg, C:\LZ\natural\natural_59.jpg, C:\LZ\natural\natural_216.jpg,     1
C:\LZ\natural\natural_115.jpg, C:\LZ\natural\natural_160.jpg, C:\LZ\natural\natural_220.jpg, C:\LZ\natural\natural_190.jpg,     1
C:\LZ\natural\natural_157.jpg, C:\LZ\natural\natural_69.jpg, C:\LZ\natural\natural_153.jpg, C:\LZ\natural\natural_123.jpg,     3
C:\LZ\natural\natural_184.jpg, C:\LZ\natural\natural_55.jpg, C:\LZ\natural\natural_154.jpg, C:\LZ\natural\natural_231.jpg,     3
C:\LZ\final_scrambled\scrambled_176.jpg, C:\LZ\final_scrambled\scrambled_31.jpg, C:\LZ\final_scrambled\scrambled_150.jpg, C:\LZ\final_scrambled\scrambled_227.jpg,     3
C:\LZ\final_scrambled\scrambled_185.jpg, C:\LZ\final_scrambled\scrambled_239.jpg, C:\LZ\final_scrambled\scrambled_211.jpg, C:\LZ\final_scrambled\scrambled_10.jpg,     2
C:\LZ\natural\natural_89.jpg, C:\LZ\natural\natural_159.jpg, C:\LZ\natural\natural_1.jpg, C:\LZ\natural\natural_234.jpg,     2
C:\LZ\final_scrambled\scrambled_7.jpg, C:\LZ\final_scrambled\scrambled_91.jpg, C:\LZ\final_scrambled\scrambled_131.jpg, C:\LZ\final_scrambled\scrambled_40.jpg,     2
C:\LZ\noise\noise_7.jpg, C:\LZ\noise\noise_86.jpg, C:\LZ\noise\noise_149.jpg, C:\LZ\noise\noise_122.jpg,     4
C:\LZ\noise\noise_5.jpg, C:\LZ\noise\noise_22.jpg, C:\LZ\noise\noise_139.jpg, C:\LZ\noise\noise_147.jpg,     1
C:\LZ\noise\noise_178.jpg, C:\LZ\noise\noise_175.jpg, C:\LZ\noise\noise_170.jpg, C:\LZ\noise\noise_227.jpg,     1
C:\LZ\final_scrambled\scrambled_152.jpg, C:\LZ\final_scrambled\scrambled_146.jpg, C:\LZ\final_scrambled\scrambled_124.jpg, C:\LZ\final_scrambled\scrambled_20.jpg,     3
C:\LZ\natural\natural_117.jpg, C:\LZ\natural\natural_158.jpg, C:\LZ\natural\natural_230.jpg, C:\LZ\natural\natural_131.jpg,     4
C:\LZ\final_scrambled\scrambled_50.jpg, C:\LZ\final_scrambled\scrambled_229.jpg, C:\LZ\final_scrambled\scrambled_74.jpg, C:\LZ\final_scrambled\scrambled_212.jpg,     1
C:\LZ\final_scrambled\scrambled_78.jpg, C:\LZ\final_scrambled\scrambled_110.jpg, C:\LZ\final_scrambled\scrambled_236.jpg, C:\LZ\final_scrambled\scrambled_197.jpg,     3
C:\LZ\natural\natural_206.jpg, C:\LZ\natural\natural_163.jpg, C:\LZ\natural\natural_3.jpg, C:\LZ\natural\natural_70.jpg,     4
C:\LZ\noise\noise_16.jpg, C:\LZ\noise\noise_64.jpg, C:\LZ\noise\noise_184.jpg, C:\LZ\noise\noise_110.jpg,     1
C:\LZ\natural\natural_84.jpg, C:\LZ\natural\natural_124.jpg, C:\LZ\natural\natural_208.jpg, C:\LZ\natural\natural_13.jpg,     2
C:\LZ\natural\natural_56.jpg, C:\LZ\natural\natural_226.jpg, C:\LZ\natural\natural_172.jpg, C:\LZ\natural\natural_128.jpg,     1
C:\LZ\natural\natural_75.jpg, C:\LZ\natural\natural_222.jpg, C:\LZ\natural\natural_86.jpg, C:\LZ\natural\natural_150.jpg,     1
C:\LZ\final_scrambled\scrambled_209.jpg, C:\LZ\final_scrambled\scrambled_196.jpg, C:\LZ\final_scrambled\scrambled_147.jpg, C:\LZ\final_scrambled\scrambled_86.jpg,     2
C:\LZ\natural\natural_130.jpg, C:\LZ\natural\natural_236.jpg, C:\LZ\natural\natural_61.jpg, C:\LZ\natural\natural_201.jpg,     3
C:\LZ\final_scrambled\scrambled_201.jpg, C:\LZ\final_scrambled\scrambled_180.jpg, C:\LZ\final_scrambled\scrambled_114.jpg, C:\LZ\final_scrambled\scrambled_77.jpg,     3
C:\LZ\natural\natural_41.jpg, C:\LZ\natural\natural_107.jpg, C:\LZ\natural\natural_44.jpg, C:\LZ\natural\natural_127.jpg,     4
C:\LZ\final_scrambled\scrambled_3.jpg, C:\LZ\final_scrambled\scrambled_170.jpg, C:\LZ\final_scrambled\scrambled_94.jpg, C:\LZ\final_scrambled\scrambled_5.jpg,     2
